XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.93427950,40.63830593,9278,1001,3,Brooklyn,083600,30836001001,2250.270494,230820.258593,360470836001001
-73.93477659,40.64296677,9279,1001,3,Brooklyn,083800,30838001001,2216.361219,226376.247377,360470838001001
-73.93095067,40.64320109,9280,1001,3,Brooklyn,084000,30840001001,2199.866009,218350.528982,360470840001001
-73.92705439,40.64344252,9281,1001,3,Brooklyn,084600,30846001001,2220.523494,226931.208872,360470846001001
-73.92747715,40.64740864,9282,1001,3,Brooklyn,084800,30848001001,1901.340302,183874.559105,360470848001001
-73.93137443,40.64716690,9283,1001,3,Brooklyn,085000,30850001001,1881.872620,177118.024118,360470850001001
-73.94311041,40.64756856,9284,1001,3,Brooklyn,085200,30852001001,1790.710854,126978.944887,360470852001001
-73.94300180,40.64602868,9285,1001,3,Brooklyn,085400,30854001001,1034.279302,53073.797890,360470854001001
-73.94419010,40.65017498,9286,1001,3,Brooklyn,085600,30856001001,1882.823658,181364.915974,360470856001001
-73.93752177,40.65053921,9287,1001,3,Brooklyn,085800,30858001001,1788.368670,164839.601584,360470858001001
-73.93177075,40.65085194,9288,1001,3,Brooklyn,086000,30860001001,1725.395929,156563.898027,360470860001001
-73.92670900,40.64936295,9289,1001,3,Brooklyn,086200,30862001001,1950.060204,190388.181038,360470862001001
-73.92554304,40.65631247,9290,1001,3,Brooklyn,086400,30864001001,1475.582507,125682.547130,360470864001001
-73.92695757,40.65882862,9291,1001,3,Brooklyn,086600,30866001001,871.869142,32090.308580,360470866001001
-73.92936425,40.65607847,9292,1001,3,Brooklyn,086800,30868001001,1460.560300,122283.802469,360470868001001
-73.93215852,40.65448715,9293,1001,3,Brooklyn,087000,30870001001,1639.899410,145586.719644,360470870001001
-73.93710429,40.65558846,9294,1001,3,Brooklyn,087200,30872001001,1466.907255,125216.710082,360470872001001
-73.93861832,40.66195685,9295,1001,3,Brooklyn,087401,30874011001,1995.885577,195385.635752,360470874011001
-73.93587189,40.66213444,9296,1001,3,Brooklyn,087600,30876001001,2124.599393,210035.451655,360470876001001
-73.93070260,40.65948436,9297,1001,3,Brooklyn,087800,30878001001,2239.631661,235273.801865,360470878001001
-73.93141349,40.66293292,9298,1001,3,Brooklyn,088000,30880001001,524.014774,11569.519041,360470880001001
-73.92910504,40.66274767,9299,1001,3,Brooklyn,088200,30882001001,2550.078982,263164.214613,360470882001001
-73.92669255,40.66392046,9300,1001,3,Brooklyn,088400,30884001001,2126.919240,206355.436359,360470884001001
-73.92138968,40.65910579,9301,1001,3,Brooklyn,088600,30886001001,1889.581250,171125.783287,360470886001001
-73.91831703,40.65528807,9302,1001,3,Brooklyn,088800,30888001001,2031.976707,197101.038475,360470888001001
-73.91870892,40.66055794,9303,1001,3,Brooklyn,089000,30890001001,2091.729944,235176.260890,360470890001001
